Date,knn
2007-01-18,7.749846091637244
2007-01-22,7.720230799454909
2007-01-26,7.830538492936355
2007-01-30,7.591000043428862
2007-02-02,7.835846167344314
2007-02-12,7.759076888744648
2007-02-15,7.363846191993127
2007-02-22,7.300076961517334
2007-02-26,7.260461550492507
2007-02-27,7.1130769069378195
2007-03-13,6.779461493858924
2007-03-14,6.640923059903658
2007-03-15,6.590230721693772
2007-03-23,7.100384602179894
2007-03-26,7.042307706979605
2007-03-30,6.872076914860652
2007-04-03,6.476153813875639
2007-04-09,6.78176920230572
2007-04-11,6.9064615322993355
2007-04-19,7.06207693540133
2007-04-20,7.014538471515362
2007-04-25,7.160615370823787
2007-04-30,7.2806154031019945
2007-05-10,7.4095384524418755
2007-05-23,8.021076972667988
2007-05-25,8.412077096792368
2007-05-29,8.423230831439678
2007-06-01,8.445692209097055
2007-06-15,8.440461525550255
2007-07-02,8.416923082791842
2007-07-05,8.443076793964092
2007-07-09,8.6880768262423
2007-07-19,8.965615345881535
2007-07-23,9.053384560805101
2007-07-30,8.506000005281889
2007-08-06,8.186692311213566
2007-08-13,8.323461569272554
2007-08-14,8.441692388974703
2007-08-15,8.363307769481953
2007-08-22,8.26730783169086
2007-08-23,8.463769325843224
2007-09-06,8.64307689666748
2007-09-12,8.956923044644869
2007-09-18,8.963461509117714
2007-09-19,9.265384600712704
2007-09-21,9.99223070878249
2007-09-25,10.003769214336689
2007-10-01,10.369999885559082
2007-10-02,10.750923010019156
2007-10-08,11.024769342862642
2007-10-12,11.37630770756648
2007-10-18,11.295923159672665
2007-10-29,11.940307690547062
2007-10-31,12.90030758197491
2007-11-08,12.804230763362003
2007-11-13,12.08746154491718
2007-11-16,12.233230810899
2007-11-21,12.625384624187763
2007-12-03,13.187230843764086
2007-12-05,13.443769308236929
2007-12-18,12.462461618276743
2007-12-20,12.649307911212627
2008-01-08,13.232692351708046
2008-01-11,13.197615476754995
2008-01-15,13.679461552546574
2008-01-25,11.502153983482948
2008-01-30,11.905692393963154
2008-02-05,11.806230838482197
2008-02-11,11.29438458956205
2008-02-19,11.826230709369366
2008-03-04,11.005538573631874
2008-03-05,10.798307932340181
2008-03-06,10.53153866987962
2008-03-13,10.14169223491962
2008-03-14,10.061615357032188
2008-03-17,9.740230853740986
2008-03-18,9.667461688701923
2008-03-27,10.13884610396165
2008-04-01,9.812999945420485
2008-04-02,10.20046146099384
2008-04-09,9.823923037602352
2008-04-10,9.99153841458834
2008-04-15,9.616000028756948
2008-04-18,10.138076855586124
2008-04-21,10.254999967721792
2008-04-23,10.668461432823769
2008-04-24,10.753153800964355
2008-05-01,11.496153831481934
2008-06-02,9.75200000176063
2008-06-05,9.357077011695274
2008-06-11,8.391230839949388
2008-06-23,8.261923093062181
2008-06-25,8.281769165625938
2008-06-30,7.407230780674861
2008-07-23,7.97653840138362
2008-07-31,8.317000022301308
2008-08-13,8.9350769336407
2008-08-21,8.527307583735539
2008-08-25,8.466230612534742
2008-08-29,8.971615351163424
2008-09-02,8.978307723999023
2008-09-03,9.179461552546574
2008-09-17,8.236769199371338
2008-09-22,8.605999946594238
2008-09-25,9.175076924837553
2008-09-26,9.433846180255596
2008-10-01,8.374769284174992
2008-10-03,8.526923032907339
2008-10-06,8.705846052903395
2008-10-09,7.684769263634315
2008-10-10,7.271769193502573
2008-10-30,6.083846128903902
2008-11-05,6.99223070878249
2008-11-07,6.640076930706318
2008-11-11,6.491461497086745
2008-11-14,5.890153848207914
2008-11-19,5.8217692375183105
2008-12-01,5.571846081660344
2008-12-11,6.215846208425669
2008-12-17,7.072923073401818
2008-12-23,7.324461533473088
2008-12-24,7.042000000293438
2008-12-29,6.518999980046199
2009-01-05,7.39376922754141
2009-01-09,7.284461461580717
2009-01-12,7.105692276587853
2009-01-20,6.283384616558369
2009-02-11,5.910000030811016
2009-02-17,5.904692319723276
